شیت اول
فهرست بهای واحد پایه رشته ابنیه سال 1404				
شماره	فصل	شرح	واحد	"بهای واحد
(ریال)"
010716	01	برچیدن ورق یا پانل‌های پلیمری از روی شیروانی، سقف‌، سایه‌بان و مانند آن به هر ضخامت برحسب سطح برچیده شده	مترمربع	320,500
010801	01	برچیدن هر نوع سینک ظرفشویی، دست‌شویی، بیده، توالت غربی، فلاش‌تانک	دستگاه	850,000
010802	01	برچیدن توالت شرقی، زیر دوشی و وان حمام	دستگاه	849,500
010803	01	برچیدن لوله فلزی و هر نوع لوله پلیمری غیر مدفون، با قطر تا ٢ اینچ   به همراه اتصالات مربوط.	مترطول	187,500
010804	01	برچیدن لوله فلزی و هر نوع لوله پلیمری مدفون در مصالح   بنایی،   با قطر تا ٢ اینچ   به همراه اتصالات مربوط.	مترطول	232,000
010805	01	بر چیدن لوله فلزی   و هر نوع لوله پلیمری غیر مدفون، با قطر بیش از ٢ اینچ   به همراه اتصالات مربوط.	مترطول	318,500
010806	01	برچیدن لوله فلزی و هر نوع لوله پلیمری مدفون در مصالح بنایی، با قطر بیش از ٢ اینچ به همراه اتصالات مربوط.	مترطول	375,000
010808	01	برچیدن سیم های برق، تلفن، زنگ اخبار و مانند آن، (سیم‌هایی که داخل یک لوله باشند، یک رشته محسوب می‌شوند)	مترطول	18,200
010809	01	برچیدن چراغ سقفی و پنکه سقفی، یا موارد مشابه آن	عدد	522,500
010810	01	برچیدن کلید، پریز و موارد مشابه	عدد	159,000
010811	01	برچیدن هر نوع کابل از کلیه سطوح.	مترطول	56,600
010812	01	برچیدن  سینی و نردبان کابل به همراه بست، اتصالات و تکیه گاه  مربوط.	مترطول	318,500
010813	01	برچیدن  دریچه هوا، دمپر و مانند آن.	عدد	318,500
010814	01	برچیدن شیرآلات بهداشتی شامل دوش، شیر مخلوط و مانند آن	دستگاه	510,000
010815	01	برچیدن لوله‌های آزبست سیمان، لوله‌های پیش‌ساخته سیمانی یا چدنی غیرمدفون	مترطول	318,500
010816	01	برچیدن لوله‌های آزبست سیمان، لوله‌های پیش‌ساخته سیمانی یا چدنی مدفون در مصالح بنایی	مترطول	364,000
010901	01	کندن آسفالت بام به ضخامت تا 2 سانتی متر.	مترمربع	483,000
010902	01	اضافه‌بها به ردیف ٠١٠٩٠١، به ازای هر سانتی‌متر اضافه ضخامت نسبت به مازاد 2 سانتی‌متر (کسر سانتی‌متر به تناسب محاسبه می‌شود)	مترمربع	161,000
010903	01	کندن آسفالت برای لکه‌گیری به ضخامت تا ۵ سانتی‌متر بر حسب سطح کنده شده	مترمربع	774,500
010904	01	اضافه‌بها به ردیف ٠١٠٩٠٣، به ازای هر سانتی‌متر اضافه ضخامت مازاد بر ۵ سانتی‌متر (کسر سانتی‌متر به تناسب محاسبه می‌شود)	مترمربع	141,000
010905	01	شیار انداختن و کندن آسفالت به عرض تا ٨ سانتی‌متر و عمق تا ١٠ سانتی‌متر با ماشین شیار‌زن	مترطول	428,500
010906	01	اضافه‌بها به ردیف ٠١٠٩٠۵، به ازای هر سانتی‌متر اضافه عمق مازاد بر ١٠ سانتی‌متر (کسر سانتی‌متر به تناسب محاسبه می‌شود).	مترطول	42,800
010907	01	برش آسفالت با کاتر به عمق تا ٧ سانتی‌متر (اندازه‌گیری برحسب طول هر خط برش).	مترطول	144,500
010908	01	اضافه‌بها به ردیف ٠١٠٩٠٧، به ازای هر سانتی‌متر اضافه عمق مازاد بر ٧ سانتی‌متر، اندازه‌گیری برحسب طول هر خط برش(کسر سانتی‌متر به تناسب محاسبه می‌شود)	مترطول	15,800
010909	01	تخریب کلی آسفالت  به ضخامت تا 5 سانتی‌متر	مترمربع	282,500
